Team,Player,No,Position,Position,Yr,Ht,Wt,DOB,Hometown,Position,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League
Michigan State,Trey Augustine,1,Goaltenders,Goaltenders,Fr,6-1,179,2/23/2005,"South Lyon, Mich.",Goaltenders,Goaltenders,73,2023,DET,2,USNTDP,
Michigan State,Luca Di Pasquo,31,Goaltenders,Goaltenders,Fr,6-0,201,9/24/2003,"Livonia, Mich.",Goaltenders,Goaltenders,72,,,,Penticton,BCHL
Michigan State,Jon Mor,30,Goaltenders,Goaltenders,Sr,6-2,200,7/20/2000,"Highland Park, Ill.",Goaltenders,Goaltenders,74,,,,Langley,BCHL
Vermont,Eli Barnett,2,Defensemen,Defensemen,Fr,6-6,227,9/16/2003,"Ottawa, Ont.",Defensemen,Defensemen,78,,,,Victoria,BCHL
Vermont,Ralfs Bergmanis,39,Defensemen,Defensemen,So,5-10,175,3/13/2002,"Liepaja, Latvia",Defensemen,Defensemen,70,,,,Sioux City,USHL
Vermont,Jeremie Bucheler,4,Defensemen,Defensemen,Gr,6-4,218,3/31/2000,"St.-Laurent, Que.",Defensemen,Defensemen,76,,,,Northeastern,HEA
Vermont,Mario Gasparini,10,Defensemen,Defensemen,Fr,5-11,182,2/28/2003,"Lakeville, Minn.",Defensemen,Defensemen,71,,,,Wenatchee,BCHL
Vermont,Xavier Henry,20,Defensemen,Defensemen,So,6-5,216,3/20/2001,"Scarborough, Ont.",Defensemen,Defensemen,77,,,,Chilliwack,BCHL
Vermont,Lucas Jones,28,Defensemen,Defensemen,So,6-4,205,2/24/2001,"Calgary, Alb.",Defensemen,Defensemen,76,,,,Fort McMurray,AJHL
Vermont,Jack Malinski,25,Defensemen,Defensemen,Fr,5-10,165,6/23/2002,"Lakeville, Minn.",Defensemen,Defensemen,70,,,,Austin,NAHL
Vermont,Luca Münzenberger,15,Defensemen,Defensemen,Jr,6-3,200,11/24/2002,"Düsseldorf, Germany",Defensemen,Defensemen,75,2021,EDM,3,Kölner U20,
Vermont,Duncan Ramsay,24,Defensemen,Defensemen,Fr,6-5,204,2/8/2004,"Halifax, N.S.",Defensemen,Defensemen,77,,,,Chiliwack,BCHL
Vermont,Philip Törnqvist,33,Defensemen,Defensemen,So,6-0,181,8/24/2001,"Gothenburg, Sweden",Defensemen,Defensemen,72,,,,Wichita Falls,NAHL
Vermont,Nick Ahern,37,Forwards,Forwards,Fr,5-10,165,12/2/2002,"Chicago, Ill.",Forwards,Forwards,70,,,,,
Vermont,Andrei Buyalsky,12,Forwards,Forwards,Jr,6-3,190,8/18/2000,"Karaganda, Kazakhstan",Forwards,Forwards,75,2021,COL,3,Dubuque,USHL
Vermont,Matt Cato,17,Forwards,Forwards,Fr,5-11,180,9/15/2003,"Whitby, Ont.",Forwards,Forwards,71,,,,Trenton,OJHL
Vermont,Mateo Dixon,11,Forwards,Forwards,Fr,5-10,185,8/19/2002,"Toronto, Ont.",Forwards,Forwards,70,,,,Coquitlam,BCHL
Vermont,Zach Dubinsky,32,Forwards,Forwards,Sr,5-8,175,3/14/2000,"Highland Park, Ill.",Forwards,Forwards,68,,,,Michigan State,B10
Vermont,Dawson Good,14,Forwards,Forwards,So,6-1,205,4/17/2002,"Abbotsford, B.C.",Forwards,Forwards,73,,,,Chilliwack,BCHL
Vermont,Simon Jellus,19,Forwards,Forwards,Jr,6-3,202,1/18/2001,"Ilava, Slovakia",Forwards,Forwards,75,,,,Karlskrona HK,
Vermont,Massimo Lombardi,18,Forwards,Forwards,So,5-10,195,5/18/2002,"Beaconsfield, Que.",Forwards,Forwards,70,,,,Cowichan Valley,BCHL
Vermont,Joel Maatta,9,Forwards,Forwards,Jr,6-3,202,7/6/2002,"Helsinki, Finland",Forwards,Forwards,75,2022,EDM,7,Sioux City,USHL
Vermont,Ryan Miotto,23,Forwards,Forwards,Gr,6-0,187,7/11/1999,"Thorold, Ont.",Forwards,Forwards,72,,,,Canisius,AHA
Vermont,Jens Richards,29,Forwards,Forwards,So,6-2,194,12/14/2002,"Detroit Lakes, Minn.",Forwards,Forwards,74,,,,Austin,NAHL
Vermont,Daniel Sambuco,21,Forwards,Forwards,Fr,6-0,200,6/10/2003,"Springfield, Pa.",Forwards,Forwards,72,,,,Lincoln,USHL
Vermont,Thomas Sinclair,26,Forwards,Forwards,So,6-3,194,12/26/2002,"Toronto, Ont.",Forwards,Forwards,75,,,,Fargo,USHL
Vermont,Timofei Spitserov,13,Forwards,Forwards,Jr,6-0,176,3/26/2002,"St. Petersburg, Russia",Forwards,Forwards,72,2020,SJS,7,Muskegon,USHL
Vermont,Chris Theodore,7,Forwards,Forwards,Gr,5-6,178,10/15/1997,"Beaconsfield, Que.",Forwards,Forwards,66,,,,Union,ECAC
Vermont,Isak Walther,22,Forwards,Forwards,Jr,6-3,179,8/2/2001,"Södertälje, Sweden",Forwards,Forwards,75,,,,Södertälje SK J20,
Vermont,Will Zapernick,16,Forwards,Forwards,Sr,5-10,180,11/16/1999,"Edmonton, Alb.",Forwards,Forwards,70,,,,Sherwood Park,AJHL
Vermont,Gabe Carriere,35,Goaltenders,Goaltenders,Sr,6-2,185,11/5/2000,"Ottawa, Ont.",Goaltenders,Goaltenders,74,,,,Waterloo,USHL
Vermont,Connor MacKenzie,1,Goaltenders,Goaltenders,Fr,6-0,190,5/10/2002,"Toronto, Ont.",Goaltenders,Goaltenders,72,,,,Grand Prairie,AJHL
Vermont,Axel Mangbo,50,Goaltenders,Goaltenders,Fr,6-3,181,4/15/2003,"Höganäs, Sweden",Goaltenders,Goaltenders,75,,,,Sioux City,USHL
Michigan,Seamus Casey,26,Defensemen,Defensemen,So,5-10,178,1/8/2004,"Miami, Fla.",Defensemen,Defensemen,70,2022,NJD,2,USA U-18 Team,NTDP
Michigan,Tyler Duke,5,Defensemen,Defensemen,Jr,5-9,180,7/19/2004,"Strongsville, Ohio",Defensemen,Defensemen,69,,,,Ohio State,B10
Michigan,Ethan Edwards,73,Defensemen,Defensemen,Jr,5-11,185,6/6/2002,"Grande Prairie, Alb.",Defensemen,Defensemen,71,2020,NJD,4,Sioux City,USHL
Michigan,Luca Fantilli,63,Defensemen,Defensemen,So,6-0,183,12/30/2002,"Kleinburg, Ont.",Defensemen,Defensemen,72,,,,Chicago,USHL
Michigan,Steven Holtz,24,Defensemen,Defensemen,Sr,6-4,200,4/2/1999,"White Lake, Mich.",Defensemen,Defensemen,76,,,,Penticton,BCHL
Michigan,Brendan Miles,12,Defensemen,Defensemen,So,6-1,175,12/12/2001,"Farmington Hills, Mich.",Defensemen,Defensemen,73,,,,Fairbanks,NAHL
Michigan,Josh Orrico,68,Defensemen,Defensemen,Fr,5-9,165,6/15/2003,"Woodbridge, Ont.",Defensemen,Defensemen,69,,,,Janesville,NAHL
Michigan,Jacob Truscott,15,Defensemen,Defensemen,Sr,6-1,193,4/12/2002,"Port Huron, Mich.",Defensemen,Defensemen,73,2020,VAN,5,USA U-18 Team,NTDP
Michigan,Marshall Warren,77,Defensemen,Defensemen,Gr,5-11,180,4/20/2001,"Laurel Hollow, N.Y.",Defensemen,Defensemen,71,2019,MIN,6,Boston College,HEA
Michigan,Gavin Brindley,4,Forwards,Forwards,So,5-9,170,10/5/2004,"Estero, Fla.",Forwards,Forwards,69,2023,CBJ,2,Tri-City,USHL
Michigan,Kienan Draper,33,Forwards,Forwards,So,6-2,205,2/19/2002,"Royal Oak, Mich.",Forwards,Forwards,74,,,,Chilliwack,BCHL
Michigan,Dylan Duke,25,Forwards,Forwards,Jr,5-10,181,3/4/2003,"Strongsville, Ohio",Forwards,Forwards,70,2021,TBL,4,USA U-18 Team,NTDP
Michigan,Josh Eernisse,6,Forwards,Forwards,Fr,6-2,205,12/31/2001,"Apple Valley, Minn.",Forwards,Forwards,74,,,,St. Thomas,CCHA
Michigan,Mark Estapa,94,Forwards,Forwards,Jr,6-2,197,1/13/2002,"St. Clair, Mich.",Forwards,Forwards,74,,,,Tri-City,USHL
Michigan,Jackson Hallum,21,Forwards,Forwards,So,6-0,183,9/8/2002,"Eagan, Minn.",Forwards,Forwards,72,2020,VGK,3,Dubuque,USHL
Michigan,T.J. Hughes,13,Forwards,Forwards,So,6-0,185,11/9/2001,"Hamilton, Ont.",Forwards,Forwards,72,,,,Brooks,AJHL
Michigan,Philippe Lapointe,22,Forwards,Forwards,Sr,5-11,185,2/29/2000,"Novi, Mich.",Forwards,Forwards,71,,,,Trail,BCHL
Michigan,Rutger McGroarty,2,Forwards,Forwards,So,6-1,200,3/30/2004,"Lincoln, Neb.",Forwards,Forwards,73,2022,WPG,1,USA U-18 Team,NTDP
Michigan,Nick Moldenhauer,9,Forwards,Forwards,Fr,5-10,170,5/25/2004,"Mississauga, Ont.",Forwards,Forwards,70,2022,TOR,3,Chicago,USHL
Michigan,Frank Nazar III,91,Forwards,Forwards,So,5-10,175,1/14/2004,"Mt. Clemens, Mich.",Forwards,Forwards,70,2022,CHI,1,USA U-18 Team,NTDP
Michigan,Chase Pletzke,23,Forwards,Forwards,Gr,5-11,175,4/10/2000,"Bay City, Mich.",Forwards,Forwards,71,,,,Miami,NCHC
Michigan,Tanner Rowe,20,Forwards,Forwards,Fr,6-1,179,8/26/2002,"Calumet, Mich.",Forwards,Forwards,73,,,,Omaha,USHL
Michigan,Garrett Schifsky,17,Forwards,Forwards,Fr,5-9,174,4/8/2003,"Andover, Minn.",Forwards,Forwards,69,,,,Waterloo,USHL
Michigan,Andrew Albano,29,Goaltenders,Goaltenders,Gr,6-0,175,11/9/1998,"Hamilton, Ont.",Goaltenders,Goaltenders,72,,,,Norwich,NCAA DIII
Michigan,Jake Barczewski,30,Goaltenders,Goaltenders,Gr,6-1,175,1/7/1999,"O'Fallon, Mo.",Goaltenders,Goaltenders,73,,,,Canisius,AHA
Michigan,Noah West,31,Goaltenders,Goaltenders,Sr,6-2,185,11/25/2000,"Pittsboro, Ind.",Goaltenders,Goaltenders,74,,,,Robert Morris,AHA
Colgate,Nick Anderson,27,Defensemen,Defensemen,Sr,5-10,161,1/4/1999,"Independence, Minn.",Defensemen,Defensemen,70,,,,Sioux Falls,USHL
Colgate,Nic Belpedio,9,Defensemen,Defensemen,Jr,5-10,194,10/9/2001,"Skokie, Ill.",Defensemen,Defensemen,70,,,,Waterloo,USHL
Colgate,Tommy Bergsland,25,Defensemen,Defensemen,Jr,6-3,185,3/23/2001,"Minnetrista, Minn.",Defensemen,Defensemen,75,,,,Bismarck,NAHL
Colgate,Pierson Brandon,2,Defensemen,Defensemen,Sr,6-0,180,6/6/2000,"Irvington, N.Y.",Defensemen,Defensemen,72,,,,Aberdeen,NAHL
Colgate,Dom Foglia,15,Defensemen,Defensemen,Fr,6-1,190,4/29/2002,"Tinton Falls, N.J.",Defensemen,Defensemen,73,,,,Philadephia,NAHL
Colgate,Reid Irwin,4,Defensemen,Defensemen,Jr,6-1,157,3/1/1999,"Victoria, B.C.",Defensemen,Defensemen,73,,,,Denver,NCHC
Colgate,Bobby Metz,6,Defensemen,Defensemen,So,5-9,174,8/20/2001,"Detroit, Mich.",Defensemen,Defensemen,69,,,,Minnesota,NAHL
Colgate,Brett Chorske,29,Forwards,Forwards,Sr,6-6,205,5/24/2001,"Edina, Minn.",Forwards,Forwards,78,,,,Colorado College,NCHC
Colgate,Alex DiPaolo,28,Forwards,Forwards,Jr,6-1,188,4/28/2000,"Oakville, Ont.",Forwards,Forwards,73,,,,Victoria ,BCHL
Colgate,Levi Glasman,20,Forwards,Forwards,Sr,6-2,172,7/31/1999,"Lacombe, Alb.",Forwards,Forwards,74,,,,Powell,BCHL
Colgate,Simon Labelle,7,Forwards,Forwards,So,5-11,176,9/3/2002,"Ottawa, Ont.",Forwards,Forwards,71,,,,Prince George,BCHL
Colgate,Ethan Manderville,14,Forwards,Forwards,Gr,6-4,230,7/1/2000,"Ottawa, Ont.",Forwards,Forwards,76,,,,Ottawa Jr. Senators,CCHL
Colgate,Ryan McGuire,19,Forwards,Forwards,Jr,6-2,183,7/27/2002,"New Canaan, Conn.",Forwards,Forwards,74,,,,Penticton,BCHL
Colgate,Ross Mitton,17,Forwards,Forwards,Sr,5-11,183,7/5/2000,"Copiague Harbor, N.Y.",Forwards,Forwards,71,,,,Omaha,USHL
Colgate,Owen Neuharth,23,Forwards,Forwards,So,5-9,150,10/25/2001,"Prior Lake, Minn.",Forwards,Forwards,69,,,,Fairbanks,NAHL
Colgate,Robby Newton,22,Forwards,Forwards,So,5-8,190,7/16/2001,"Milwaukee, Wis.",Forwards,Forwards,68,,,,Wisconsin,B10
Colgate,Daniel Panetta,12,Forwards,Forwards,So,5-10,175,5/20/2001,"Belleville, Ont.",Forwards,Forwards,70,,,,Salmon Arm,BCHL
Colgate,Ben Raymond,18,Forwards,Forwards,Jr,5-11,180,8/22/2001,"Newton, Mass.",Forwards,Forwards,71,,,,Powell River,BCHL
Colgate,Niko Rexine,11,Forwards,Forwards,Fr,6-2,195,6/20/2002,"Syracuse, N.Y.",Forwards,Forwards,74,,,,Muskegon,USHL
Colgate,Jake Schneider,24,Forwards,Forwards,Fr,5-11,185,12/24/2002,"Plymouth, Minn.",Forwards,Forwards,71,,,,Prince George,BCHL
Colgate,Ryan Sullivan,16,Forwards,Forwards,Fr,6-3,196,5/15/2002,"Calgary, Alb.",Forwards,Forwards,75,,,,Camrose,AJHL
Colgate,Sebastian Tamburro,13,Forwards,Forwards,So,5-11,170,3/4/2002,"Toronto, Ont.",Forwards,Forwards,71,,,,Bonnyville,AJHL
Colgate,Carter Gylander,37,Goaltenders,Goaltenders,Sr,6-5,185,6/5/2001,"Beaumont, Alb.",Goaltenders,Goaltenders,77,2019,DET,7,Sherwood Park,AJHL
Colgate,Nick Haas,35,Goaltenders,Goaltenders,So,6-5,194,11/11/2001,"Williamsville, N.Y.",Goaltenders,Goaltenders,77,,,,Chippewa,NAHL
Colgate,Andrew Takacs,1,Goaltenders,Goaltenders,So,6-2,190,2/27/2001,"Bowie, Md.",Goaltenders,Goaltenders,74,,,,New Jersey,NAHL
Alaska Anchorage,Brett Bamber,77,Defensemen,Defensemen,So,5-9,175,7/7/2001,"St. Albert, Alb.",Defensemen,Defensemen,69,,,,Drayton Valley,AJHL
Alaska Anchorage,James Darby,44,Defensemen,Defensemen,So,6-3,204,4/12/2001,"North Vancouver, B.C.",Defensemen,Defensemen,75,,,,Surrey,BCHL
Alaska Anchorage,Dylan Finlay,26,Defensemen,Defensemen,So,6-1,178,10/24/2001,"L'Île-Bizard, Que.",Defensemen,Defensemen,73,,,,Powell River,BCHL
Alaska Anchorage,William Gilson,8,Defensemen,Defensemen,So,6-0,170,6/28/2001,"Old Greenwich, Conn.",Defensemen,Defensemen,72,,,,Aberdeen,NAHL
Alaska Anchorage,Davis Goukler,4,Defensemen,Defensemen,So,6-1,195,4/22/2001,"Cumming, Ga.",Defensemen,Defensemen,73,,,,Shreveport,NAHL
Alaska Anchorage,Caleb Huffman,25,Defensemen,Defensemen,So,6-4,190,1/31/2002,"Fairbanks, Alaska",Defensemen,Defensemen,76,,,,Kenai,NAHL
Alaska Anchorage,Carson Kosobud,7,Defensemen,Defensemen,Jr,6-0,190,6/4/1999,"Moorhead, Minn.",Defensemen,Defensemen,72,,,,Arizona State,D1 Ind.
Alaska Anchorage,Max Osborne,2,Defensemen,Defensemen,Sr,5-10,180,2/1/1999,"Anchorage, Alaska",Defensemen,Defensemen,70,,,,Saint John's University,
Alaska Anchorage,Gunnar VanDamme,17,Defensemen,Defensemen,Fr,6-0,190,12/8/2002,"Pittsford, N.Y.",Defensemen,Defensemen,72,,,,Maryland,NAHL
Alaska Anchorage,Matt Allen,20,Forwards,Forwards,Sr,5-10,168,5/13/2000,"Minco, Okla.",Forwards,Forwards,70,,,,Mass.-Lowell,HEA
Alaska Anchorage,Ben Almquist,11,Forwards,Forwards,Sr,6-0,185,10/1/1999,"Victoria, Minn.",Forwards,Forwards,72,,,,Minnesota-Duluth,WCHA
Alaska Anchorage,Ben Anderson,21,Forwards,Forwards,Fr,6-5,209,3/1/2002,"Crystal, Minn.",Forwards,Forwards,77,,,,Wisconsin,NAHL
Alaska Anchorage,Carter Belitski,37,Forwards,Forwards,So,6-1,180,1/13/2001,"Regina, Sask.",Forwards,Forwards,73,,,,Drumheller,AJHL
Alaska Anchorage,Conor Cole,9,Forwards,Forwards,So,5-10,183,10/28/2001,"St. John's, Newf.",Forwards,Forwards,70,,,,Maryland,NAHL
Alaska Anchorage,Alex Gomez,74,Forwards,Forwards,So,6-4,185,7/18/2001,"Parker, Colo.",Forwards,Forwards,76,,,,New Mexico,NAHL
Alaska Anchorage,Maximilion Helgeson,23,Forwards,Forwards,Jr,6-1,185,12/5/2000,"Anchorage, Alaska",Forwards,Forwards,73,,,,Lindenwood,ACHA
Alaska Anchorage,Matt Johnson,28,Forwards,Forwards,So,6-1,195,11/25/2001,"Calgary, Alb.",Forwards,Forwards,73,,,,Anchorage,NAHL
Alaska Anchorage,Matt Kinash,13,Forwards,Forwards,Jr,6-0,185,12/15/1999,"Edmonton, Alb.",Forwards,Forwards,72,,,,Mass.-Lowell,HEA
Alaska Anchorage,Mitch Lafay,12,Forwards,Forwards,Fr,6-6,209,8/6/2002,"Stratford, Ont.",Forwards,Forwards,78,,,,Trenton,OJHL
Alaska Anchorage,Brandon Lajoie,6,Forwards,Forwards,So,5-11,180,10/18/2001,"Eagle River, Alaska",Forwards,Forwards,71,,,,St. Cloud,NAHL
Alaska Anchorage,Connor Marritt,14,Forwards,Forwards,So,6-1,174,3/14/1999,"Kelowna, B.C.",Forwards,Forwards,73,,,,Northern Michigan,CCHA
Alaska Anchorage,Karter McNarland,43,Forwards,Forwards,Fr,5-11,170,2/10/2003,"Saskatoon, Sask.",Forwards,Forwards,71,,,,Powell,BCHL
Alaska Anchorage,Rowan Miller,19,Forwards,Forwards,So,5-11,160,10/7/2001,"Scottsdale, Ariz.",Forwards,Forwards,71,,,,Prince George,BCHL
Alaska Anchorage,Porter Schachle,79,Forwards,Forwards,Sr,6-4,194,11/22/2000,"Wasilla, Alaska",Forwards,Forwards,76,,,,Vermont,HEA
Alaska Anchorage,Riley Thompson,10,Forwards,Forwards,Fr,6-3,201,8/17/2002,"Orleans, Ont.",Forwards,Forwards,75,,,,Smiths Falls,CCHL
Alaska Anchorage,Adam Tisdale,29,Forwards,Forwards,Gr,5-10,167,11/9/1998,"Cochrane, Alb.",Forwards,Forwards,70,,,,Sacred Heart,AHA
Alaska Anchorage,Aiden Westin,22,Forwards,Forwards,Fr,6-1,185,2/6/2002,"Anchorage, Alaska",Forwards,Forwards,73,,,,Anchorage,NAHL
Alaska Anchorage,Jarred White,86,Forwards,Forwards,Sr,5-10,195,5/21/1999,"Edmonton, Alb.",Forwards,Forwards,70,,,,Western Michigan,NCHC
Alaska Anchorage,Joey Lamoreaux,32,Goaltenders,Goaltenders,Gr,6-1,180,2/1/1999,"Shorewood, Wis.",Goaltenders,Goaltenders,73,,,,St. Cloud State,NCHC
Alaska Anchorage,Greg Orosz,33,Goaltenders,Goaltenders,Fr,6-3,187,8/28/2002,"Gyõr, Hungary",Goaltenders,Goaltenders,75,,,,Odessa,NAHL
Alaska Anchorage,Jared Whale,30,Goaltenders,Goaltenders,So,5-11,195,11/1/2002,"Calgary, Alb.",Goaltenders,Goaltenders,71,,,,Olds,AJHL
Alaska,Arvils Bergmanis,38,Defensemen,Defensemen,Jr,5-11,187,12/29/1999,"Riga, Latvia",Defensemen,Defensemen,71,,,,Olimp Riga,
Alaska,Dawson Bruneski,39,Defensemen,Defensemen,Gr,5-11,203,6/24/1999,"Camrose, Alb.",Defensemen,Defensemen,71,,,,Maine,HEA
Alaska,Will Hilfiker,8,Defensemen,Defensemen,So,6-2,205,8/7/2001,"Middletown, N.J.",Defensemen,Defensemen,74,,,,Bonnyville,AJHL
Alaska,Xavier Jean-Louis,13,Defensemen,Defensemen,So,6-5,205,6/25/2001,"Montreal, Que.",Defensemen,Defensemen,77,,,,Austin,NAHL
Alaska,T.J. Lloyd,6,Defensemen,Defensemen,Gr,5-9,175,11/15/1999,"Lloydminster, Sask.",Defensemen,Defensemen,69,,,,Bowling Green,CCHA
Alaska,A.J. Macaulay,12,Defensemen,Defensemen,So,5-9,175,4/12/2002,"Bonnyville, Alb.",Defensemen,Defensemen,69,,,,Bonnyville,AJHL
Alaska,Caleb MacDonald,9,Defensemen,Defensemen,Fr,6-4,216,11/29/2002,"Cambridge, Ont.",Defensemen,Defensemen,76,,,,Whitecourt,AJHL
Alaska,Derek Pys,17,Defensemen,Defensemen,Fr,6-0,172,4/30/2002,"Ayr, Ont.",Defensemen,Defensemen,72,,,,Sherwood Park,AJHL
Alaska,Broten Sabo,7,Defensemen,Defensemen,Fr,6-2,194,8/9/2002,"Rosemount, Minn.",Defensemen,Defensemen,74,,,,St. Cloud,NAHL
Alaska,Cade Ahrenholz,20,Forwards,Forwards,So,6-3,218,11/30/2002,"Lakeville, Minn.",Forwards,Forwards,75,,,,Colorado College,NCHC
Alaska,Edvards Bergmanis,18,Forwards,Forwards,Fr,5-10,170,4/4/2002,"Spilve, Latvia",Forwards,Forwards,70,,,,Peoria,NA3HL
Alaska,Braden Birnie,15,Forwards,Forwards,So,6-2,195,8/19/2001,"Weyburn, Sask.",Forwards,Forwards,74,,,,Steinbach,MJHL
Alaska,Chase Dafoe,37,Forwards,Forwards,Jr,6-3,201,2/25/2002,"Beverly, Mass.",Forwards,Forwards,75,,,,Providence,HEA
Alaska,Chase Dubois,16,Forwards,Forwards,Jr,5-9,160,3/12/1998,"Williams Lake, B.C.",Forwards,Forwards,69,,,,West Kelowna,BCHL
Alaska,Kyle Gaffney,34,Forwards,Forwards,So,6-0,180,9/5/2001,"Plymouth, Mich.",Forwards,Forwards,72,,,,Aberdeen,NAHL
Alaska,Harrison Israels,24,Forwards,Forwards,Jr,6-1,200,9/1/1999,"Mississauga, Ont.",Forwards,Forwards,73,,,,Oakville,OJHL
Alaska,Matt Koethe,40,Forwards,Forwards,Jr,5-10,185,9/28/1999,"Minnetonka, Minn.",Forwards,Forwards,70,,,,Fairbanks,NAHL
Alaska,William Lawson-Body,10,Forwards,Forwards,Fr,5-10,170,4/4/2002,"Grand Forks, N.D.",Forwards,Forwards,70,,,,Oklahoma,NAHL
Alaska,Payton Matsui,26,Forwards,Forwards,Jr,5-7,160,4/15/2000,"Lakeville, Minn.",Forwards,Forwards,67,,,,Aberdeen,NAHL
Alaska,Cade Neilson,25,Forwards,Forwards,So,6-0,193,5/15/2001,"Lafayette, La.",Forwards,Forwards,72,,,,Aberdeen,NAHL
Alaska,Brayden Nicholetts,28,Forwards,Forwards,Jr,5-11,180,8/27/1999,"Spruce Grove, Alb.",Forwards,Forwards,71,,,,Spruce Grove,AJHL
Alaska,Matteo Pecchia,27,Forwards,Forwards,Jr,5-10,185,6/5/2000,"Nobelton, Ont.",Forwards,Forwards,70,,,,Mississauga,OJHL
Alaska,Brady Risk,11,Forwards,Forwards,Jr,5-9,175,3/16/1999,"Medicine Hat, Alb.",Forwards,Forwards,69,,,,Drumheller,AJHL
Alaska,Anton Rubtsov,14,Forwards,Forwards,Jr,5-10,165,3/6/1999,"St. Petersburg, Russia",Forwards,Forwards,70,,,,Shreveport,NAHL
Alaska,Jonny Sorenson,4,Forwards,Forwards,Gr,6-1,180,9/21/1999,"St. Louis Park, Minn.",Forwards,Forwards,73,,,,Minnesota,B10
Alaska,Filip Wiberg,36,Forwards,Forwards,Fr,6-2,201,7/15/2002,"Trondheim, Norway",Forwards,Forwards,74,,,,Maine,NAHL
Alaska,Pierce Charleson,29,Goaltenders,Goaltenders,Sr,6-2,194,2/27/2000,"Aurora, Ont.",Goaltenders,Goaltenders,74,,,,Michigan State,B10
Alaska,Will Hambley,1,Goaltenders,Goaltenders,Fr,6-3,190,4/29/2002,"Cole Harbour, N.S.",Goaltenders,Goaltenders,75,,,,Western Michigan,
Alaska,Lassi Lehti,35,Goaltenders,Goaltenders,So,6-3,210,11/29/2001,"Espoo, Finland",Goaltenders,Goaltenders,75,,,,Minot,NAHL
Wisconsin,Brady Cleveland,6,Defensemen,Defensemen,Fr,6-5,211,4/1/2005,"Wausau, Wis.",Defensemen,Defensemen,77,2023,DET,2,USA U-18 Team,NTDP
Wisconsin,Ben Dexheimer,4,Defensemen,Defensemen,So,5-9,172,6/21/2002,"Edina, Minn.",Defensemen,Defensemen,69,,,,Madison,USHL
Wisconsin,Tyson Jugnauth,27,Defensemen,Defensemen,So,6-0,162,4/17/2004,"Toronto, Ont.",Defensemen,Defensemen,72,2022,SEA,4,West Kelowna,BCHL
Wisconsin,Anthony Kehrer,24,Defensemen,Defensemen,Sr,5-11,210,3/4/2002,"Winnipeg, Man.",Defensemen,Defensemen,71,,,,Sioux City,USHL
Wisconsin,Daniel Laatsch,2,Defensemen,Defensemen,Jr,6-5,190,2/13/2002,"Altoona, Wis.",Defensemen,Defensemen,77,2021,PIT,7,Sioux City,USHL
Wisconsin,Joe Palodichuk,14,Defensemen,Defensemen,Fr,6-0,171,2/26/2003,"Cottage Grove, Minn.",Defensemen,Defensemen,72,,,,Fargo,USHL
Wisconsin,Zach Schulz,5,Defensemen,Defensemen,Fr,6-1,185,6/14/2005,"South Lyon, Mich.",Defensemen,Defensemen,73,2023,NYI,6,USA U-18 Team,NTDP
Wisconsin,Mike Vorlicky,7,Defensemen,Defensemen,Gr,6-1,203,7/17/2000,"Edina, Minn.",Defensemen,Defensemen,73,,,,Edina,USHS
Wisconsin,Carson Bantle,21,Forwards,Forwards,Sr,6-5,207,1/22/2002,"Onalaska, Wis.",Forwards,Forwards,77,2020,ARI,5,Michigan Tech,WCHA
Wisconsin,Mathieu De St. Phalle,12,Forwards,Forwards,Sr,5-9,170,3/20/2000,"Greenwich, Conn.",Forwards,Forwards,69,,,,Chicago,USHL
Wisconsin,Tyson Dyck,16,Forwards,Forwards,Jr,6-10,170,2/6/2004,"Abbotsford, B.C.",Forwards,Forwards,82,2022,OTT,7,Massachusetts,HEA
Wisconsin,Quinn Finley,19,Forwards,Forwards,Fr,6-0,179,8/8/2004,"Suamico, Wis.",Forwards,Forwards,72,2022,NYI,3,Chicago,USHL
Wisconsin,Christian Fitzgerald,13,Forwards,Forwards,Jr,6-0,178,5/31/2002,"Coquitlam, B.C.",Forwards,Forwards,72,,,,Minnesota State,CCHA
Wisconsin,Jack Horbach,22,Forwards,Forwards,So,5-11,176,5/4/2002,"Naperville, Ill.",Forwards,Forwards,71,,,,Madison,USHL
Wisconsin,Owen Lindmark,18,Forwards,Forwards,Gr,6-0,195,5/17/2001,"Naperville, Ill.",Forwards,Forwards,72,2019,FLA,5,USA U-18 Team,NTDP
Wisconsin,Cruz Lucius,51,Forwards,Forwards,So,6-0,178,4/5/2004,"Grant, Minn.",Forwards,Forwards,72,2022,CAR,4,USA U-18 Team,NTDP
Wisconsin,Owen Mehlenbacher,17,Forwards,Forwards,Fr,6-2,189,1/26/2004,"Fort Erie, Ont.",Forwards,Forwards,74,2022,DET,7,Muskegon,USHL
Wisconsin,Sawyer Scholl,23,Forwards,Forwards,Fr,6-2,190,2/14/2002,"Green Bay, Wis.",Forwards,Forwards,74,,,,Minnesota,NAHL
Wisconsin,David Silye,15,Forwards,Forwards,Gr,5-11,187,3/2/1999,"Arnprior, Ont.",Forwards,Forwards,71,,,,Minnesota State,CCHA
Wisconsin,Sam Stange,3,Forwards,Forwards,Sr,6-1,200,4/20/2001,"Eau Claire, Wis.",Forwards,Forwards,73,2020,DET,4,Sioux Falls,USHL
Wisconsin,Charlie Stramel,9,Forwards,Forwards,So,6-3,215,10/15/2004,"Rosemount, Minn.",Forwards,Forwards,75,2023,MIN,1,USA U-18 Team,NTDP
